,Loss_mae,Threshold,Anomaly
0.0-0.09287981859410431,0.577118196983913,0.4226,True
0.09287981859410431-0.18575963718820862,0.5442892199596411,0.4226,True
0.18575963718820862-0.2786394557823129,0.5381766957638656,0.4226,True
0.2786394557823129-0.37151927437641724,0.6729593472705249,0.4226,True
0.37151927437641724-0.46439909297052157,0.6536740668609796,0.4226,True
0.46439909297052157-0.5572789115646258,0.581040642062911,0.4226,True
0.5572789115646258-0.6501587301587302,0.619992409823147,0.4226,True
0.6501587301587302-0.7430385487528345,0.5683898080777409,0.4226,True
0.7430385487528345-0.8359183673469388,0.6432018328010832,0.4226,True
0.8359183673469388-0.9287981859410431,0.5778325151155453,0.4226,True
0.9287981859410431-1.0216780045351475,0.5627725622949072,0.4226,True
1.0216780045351475-1.1145578231292517,0.5677852120182771,0.4226,True
1.1145578231292517-1.207437641723356,0.6286137684965758,0.4226,True
1.207437641723356-1.3003174603174603,0.596862375799386,0.4226,True
1.3003174603174603-1.3931972789115648,0.5759022176565709,0.4226,True
1.3931972789115648-1.486077097505669,0.5833502044050465,0.4226,True
1.486077097505669-1.5789569160997732,0.6171630051712513,0.4226,True
1.5789569160997732-1.6718367346938776,0.6558899827064816,0.4226,True
1.6718367346938776-1.7647165532879818,0.5583842244575532,0.4226,True
1.7647165532879818-1.8575963718820863,0.5746610519870764,0.4226,True
1.8575963718820863-1.9504761904761905,0.5948352186502438,0.4226,True
1.9504761904761905-2.043356009070295,0.6617680117422212,0.4226,True
2.043356009070295-2.1362358276643993,0.5796946559043427,0.4226,True
2.1362358276643993-2.2291156462585033,0.5705947310853811,0.4226,True
2.2291156462585033-2.3219954648526078,0.5737912096301488,0.4226,True
2.3219954648526078-2.414875283446712,0.6574483167511794,0.4226,True
2.414875283446712-2.507755102040816,0.6649650459303434,0.4226,True
2.507755102040816-2.6006349206349206,0.5968113903553837,0.4226,True
2.6006349206349206-2.693514739229025,0.5601150656790752,0.4226,True
2.693514739229025-2.7863945578231295,0.5663022583798358,0.4226,True
2.7863945578231295-2.8792743764172335,0.6566423159253442,0.4226,True
2.8792743764172335-2.972154195011338,0.6073274790661592,0.4226,True
2.972154195011338-3.0650340136054424,0.5608175236450091,0.4226,True
3.0650340136054424-3.1579138321995464,0.6021246006072504,0.4226,True
3.1579138321995464-3.250793650793651,0.6392121736911324,0.4226,True
3.250793650793651-3.3436734693877552,0.6311120514081922,0.4226,True
3.3436734693877552-3.4365532879818597,0.5928835621285728,0.4226,True
3.4365532879818597-3.5294331065759637,0.5645971691008119,0.4226,True
3.5294331065759637-3.622312925170068,0.6217736262795951,0.4226,True
3.622312925170068-3.7151927437641725,0.5749485158266018,0.4226,True
3.7151927437641725-3.8080725623582765,0.5528810824897495,0.4226,True
