,spectrogram,mel,mfcc
0.0-0.09287981859410431,0.22756779,0.29125088,0.44719923
0.09287981859410431-0.18575963718820862,0.24676678,0.31540754,0.46587712
0.18575963718820862-0.2786394557823129,0.22596514,0.2892261,0.44561413
0.2786394557823129-0.37151927437641724,0.2199173,0.28165293,0.43976876
0.37151927437641724-0.46439909297052157,0.28168228,0.35949925,0.49974728
0.46439909297052157-0.5572789115646258,0.25969747,0.33171657,0.4784426
0.5572789115646258-0.6501587301587302,0.2888164,0.36854705,0.5066778
0.6501587301587302-0.7430385487528345,0.22646883,0.28986797,0.44612452
0.7430385487528345-0.8359183673469388,0.23862436,0.30515572,0.45796233
0.8359183673469388-0.9287981859410431,0.2222285,0.28454188,0.44199312
0.9287981859410431-1.0216780045351475,0.22791675,0.2916867,0.44753337
1.0216780045351475-1.1145578231292517,0.21818882,0.27946067,0.43803293
1.1145578231292517-1.207437641723356,0.2260356,0.289328,0.44571197
1.207437641723356-1.3003174603174603,0.21432105,0.27460462,0.43425316
1.3003174603174603-1.3931972789115648,0.23415837,0.29954278,0.4536293
1.3931972789115648-1.486077097505669,0.2537661,0.324257,0.47273052
1.486077097505669-1.5789569160997732,0.21920273,0.28074464,0.43904704
1.5789569160997732-1.6718367346938776,0.22805515,0.29187328,0.44769546
1.6718367346938776-1.7647165532879818,0.21914217,0.28065467,0.4389568
1.7647165532879818-1.8575963718820863,0.24447185,0.31252512,0.46366382
1.8575963718820863-1.9504761904761905,0.22870377,0.29267678,0.44830197
1.9504761904761905-2.043356009070295,0.21278745,0.27268812,0.43277282
2.043356009070295-2.1362358276643993,0.22762063,0.29131722,0.44725072
2.1362358276643993-2.2291156462585033,0.23672703,0.30277827,0.4561376
2.2291156462585033-2.3219954648526078,0.23247251,0.29742038,0.4519837
2.3219954648526078-2.414875283446712,0.22113118,0.28316912,0.4409348
2.414875283446712-2.507755102040816,0.22490922,0.2879181,0.44462574
2.507755102040816-2.6006349206349206,0.2466383,0.3152615,0.46578437
2.6006349206349206-2.693514739229025,0.22972149,0.2939599,0.44930148
2.693514739229025-2.7863945578231295,0.21923304,0.28077352,0.43905598
2.7863945578231295-2.8792743764172335,0.22366539,0.2863558,0.443414
2.8792743764172335-2.972154195011338,0.22102219,0.28301603,0.4407925
2.972154195011338-3.0650340136054424,0.24610597,0.31458554,0.46525615
3.0650340136054424-3.1579138321995464,0.2636487,0.33672136,0.48230892
3.1579138321995464-3.250793650793651,0.2331379,0.29826164,0.4526409
3.250793650793651-3.3436734693877552,0.23137039,0.29603058,0.45090216
3.3436734693877552-3.4365532879818597,0.2466963,0.31532937,0.46583015
3.4365532879818597-3.5294331065759637,0.238058,0.30444825,0.45742238
3.5294331065759637-3.622312925170068,0.22968298,0.2939073,0.449255
3.622312925170068-3.7151927437641725,0.22266221,0.2850768,0.44239438
3.7151927437641725-3.8080725623582765,0.22933364,0.29346088,0.44889903
3.8080725623582765-3.900952380952381,0.22908238,0.2931479,0.4486605
3.900952380952381-3.9938321995464854,0.2164976,0.2773296,0.43636364
3.9938321995464854-4.08671201814059,0.23552713,0.30127195,0.45497692
4.08671201814059-4.179591836734694,0.21221748,0.27195796,0.43218142
4.179591836734694-4.272471655328799,0.24133316,0.30857465,0.46061605
4.272471655328799-4.365351473922902,0.22483143,0.28780743,0.44452167
4.365351473922902-4.458231292517007,0.22803128,0.29183057,0.4476447
4.458231292517007-4.551111111111111,0.23257217,0.29755107,0.452092
4.551111111111111-4.6439909297052155,0.22476536,0.28772563,0.44445994
4.6439909297052155-4.73687074829932,0.22644922,0.28984267,0.44610393
4.73687074829932-4.829750566893424,0.2150642,0.27553546,0.43497503
4.829750566893424-4.922630385487529,0.2273153,0.29094395,0.4469757
4.922630385487529-5.015510204081632,0.22983828,0.2941013,0.44940352
5.015510204081632-5.108390022675737,0.228237,0.29208925,0.4478454
5.108390022675737-5.201269841269841,0.21805742,0.27930453,0.43792439
5.201269841269841-5.294149659863946,0.22068486,0.28260025,0.4404809
5.294149659863946-5.38702947845805,0.22802398,0.29182675,0.44764924
5.38702947845805-5.479909297052155,0.21828827,0.27958784,0.4381351
5.479909297052155-5.572789115646259,0.21776015,0.2789189,0.43760628
5.572789115646259-5.6656689342403626,0.23134625,0.2959979,0.45087373
5.6656689342403626-5.758548752834467,0.23973292,0.3065606,0.45906067
5.758548752834467-5.851428571428571,0.23695526,0.3030631,0.45635468
5.851428571428571-5.944308390022676,0.23048022,0.29491302,0.4500389
5.944308390022676-6.03718820861678,0.22671708,0.2901816,0.44637007
6.03718820861678-6.130068027210885,0.22491843,0.28792694,0.44462878
6.130068027210885-6.222947845804989,0.24364829,0.3114841,0.46285534
6.222947845804989-6.315827664399093,0.24654317,0.31512585,0.46565986
6.315827664399093-6.408707482993197,0.24697828,0.31568888,0.46611273
6.408707482993197-6.501587301587302,0.22717169,0.2907513,0.44680953
6.501587301587302-6.594467120181406,0.22476801,0.2877306,0.44446614
6.594467120181406-6.6873469387755105,0.24063468,0.30769107,0.45992798
6.6873469387755105-6.780226757369615,0.26082486,0.33313695,0.4795317
6.780226757369615-6.873106575963719,0.23387456,0.2991846,0.45335048
6.873106575963719-6.965986394557823,0.24285254,0.31048238,0.4620825
6.965986394557823-7.058866213151927,0.23062712,0.29509506,0.45017624
7.058866213151927-7.151746031746032,0.25779584,0.32933137,0.47662532
7.151746031746032-7.244625850340136,0.24949285,0.3188659,0.46857274
7.244625850340136-7.337505668934241,0.22658205,0.29001313,0.44624108
7.337505668934241-7.430385487528345,0.22525579,0.28835058,0.44495714
7.430385487528345-7.5232653061224495,0.22113046,0.28315827,0.440912
7.5232653061224495-7.616145124716553,0.25309172,0.3233944,0.47205144
7.616145124716553-7.7090249433106575,0.2405512,0.3075894,0.45985395
7.7090249433106575-7.801904761904762,0.2309373,0.29549107,0.45049125
7.801904761904762-7.894784580498866,0.24249038,0.3100367,0.46175152
7.894784580498866-7.987664399092971,0.27584,0.35211858,0.4941094
7.987664399092971-8.080544217687075,0.24000862,0.3069109,0.4593355
8.080544217687075-8.17342403628118,0.2160973,0.2768401,0.43600208
8.17342403628118-8.266303854875284,0.25556576,0.32650653,0.4744379
8.266303854875284-8.359183673469389,0.22012386,0.28189147,0.43992388
8.359183673469389-8.452063492063493,0.22813183,0.2919576,0.44774407
8.452063492063493-8.544943310657597,0.25001204,0.31951034,0.46905714
8.544943310657597-8.6378231292517,0.22375152,0.28644872,0.4434645
8.6378231292517-8.730702947845804,0.22936955,0.2935107,0.44894415
