,spectrogram,mel,mfcc
0.0-0.09287981859410431,0.05486969277262688,0.008544592186808586,58.7100830078125
0.09287981859410431-0.18575963718820862,0.05300838127732277,0.016719656065106392,62.02034378051758
0.18575963718820862-0.2786394557823129,0.14822831749916077,0.06192794442176819,54.073211669921875
0.2786394557823129-0.37151927437641724,0.21800222992897034,0.05089683085680008,49.38066864013672
0.37151927437641724-0.46439909297052157,0.07236192375421524,0.013106482103466988,58.58967208862305
0.46439909297052157-0.5572789115646258,0.0552644357085228,0.012020966038107872,61.90192413330078
0.5572789115646258-0.6501587301587302,0.07643980532884598,0.038550421595573425,60.165504455566406
0.6501587301587302-0.7430385487528345,0.12413614988327026,0.057487472891807556,56.4251823425293
0.7430385487528345-0.8359183673469388,0.11088704317808151,0.025258630514144897,56.113365173339844
0.8359183673469388-0.9287981859410431,0.05446266010403633,0.011225663125514984,61.273284912109375
0.9287981859410431-1.0216780045351475,0.060186177492141724,0.021385475993156433,61.35700225830078
1.0216780045351475-1.1145578231292517,0.13483309745788574,0.0690966546535492,56.65803909301758
1.1145578231292517-1.207437641723356,0.16115395724773407,0.04849424213171005,53.51238250732422
1.207437641723356-1.3003174603174603,0.06413935124874115,0.009956657886505127,59.39734649658203
1.3003174603174603-1.3931972789115648,0.0521060936152935,0.013108748942613602,61.55237579345703
1.3931972789115648-1.486077097505669,0.09266770631074905,0.04841438680887222,59.51881790161133
1.486077097505669-1.5789569160997732,0.18646857142448425,0.058547575026750565,52.730613708496094
1.5789569160997732-1.6718367346938776,0.10951633006334305,0.018549159169197083,56.4428596496582
1.6718367346938776-1.7647165532879818,0.04844685643911362,0.007272546645253897,61.045623779296875
1.7647165532879818-1.8575963718820863,0.06653393805027008,0.027780191972851753,61.69896697998047
1.8575963718820863-1.9504761904761905,0.15931017696857452,0.06985577940940857,54.751441955566406
1.9504761904761905-2.043356009070295,0.1466955542564392,0.03207642585039139,53.2379150390625
2.043356009070295-2.1362358276643993,0.056965406984090805,0.008459537290036678,60.21717071533203
2.1362358276643993-2.2291156462585033,0.054901156574487686,0.013414918445050716,61.47272491455078
2.2291156462585033-2.3219954648526078,0.11626112461090088,0.05961151421070099,57.2736930847168
2.3219954648526078-2.414875283446712,0.1646476686000824,0.05465239658951759,53.19805145263672
2.414875283446712-2.507755102040816,0.09175794571638107,0.016198229044675827,57.365638732910156
2.507755102040816-2.6006349206349206,0.05316929146647453,0.009898790158331394,61.538978576660156
2.6006349206349206-2.693514739229025,0.075055792927742,0.03608660772442818,60.861793518066406
2.693514739229025-2.7863945578231295,0.17582635581493378,0.07298702001571655,53.989540100097656
2.7863945578231295-2.8792743764172335,0.13468536734580994,0.029524005949497223,54.7794075012207
2.8792743764172335-2.972154195011338,0.05189287289977074,0.00895804911851883,61.3081169128418
2.972154195011338-3.0650340136054424,0.06059349700808525,0.01939867064356804,61.74938201904297
3.0650340136054424-3.1579138321995464,0.13573497533798218,0.0690726637840271,56.32501983642578
3.1579138321995464-3.250793650793651,0.18188032507896423,0.047778621315956116,52.914710998535156
3.250793650793651-3.3436734693877552,0.08074957132339478,0.013026725500822067,57.81468963623047
3.3436734693877552-3.4365532879818597,0.04957348853349686,0.008480306714773178,61.53568649291992
3.4365532879818597-3.5294331065759637,0.09147930890321732,0.04793243482708931,59.69792556762695
3.5294331065759637-3.622312925170068,0.20068617165088654,0.07368496060371399,51.80009078979492
3.622312925170068-3.7151927437641725,0.13701754808425903,0.01802307553589344,52.28069305419922
3.7151927437641725-3.8080725623582765,0.04652576148509979,0.00585969677194953,61.07976531982422
3.8080725623582765-3.900952380952381,0.06038260459899902,0.0212068110704422,61.798255920410156
3.900952380952381-3.9938321995464854,0.15203194320201874,0.08085314184427261,55.42932891845703
3.9938321995464854-4.08671201814059,0.16545522212982178,0.041810497641563416,52.901466369628906
4.08671201814059-4.179591836734694,0.06261216849088669,0.009184504859149456,59.55131149291992
4.179591836734694-4.272471655328799,0.04950030893087387,0.009793448261916637,61.4364128112793
4.272471655328799-4.365351473922902,0.09282246977090836,0.05377545207738876,59.35859298706055
4.365351473922902-4.458231292517007,0.15478824079036713,0.059641458094120026,54.20384979248047
4.458231292517007-4.551111111111111,0.10721555352210999,0.0177213903516531,56.06342697143555
4.551111111111111-4.6439909297052155,0.04983341321349144,0.007693862542510033,61.87956619262695
4.6439909297052155-4.73687074829932,0.06359730660915375,0.02719256840646267,61.237632751464844
4.73687074829932-4.829750566893424,0.1451810747385025,0.07003479450941086,55.229331970214844
4.829750566893424-4.922630385487529,0.15430733561515808,0.03675484657287598,53.667030334472656
4.922630385487529-5.015510204081632,0.055733196437358856,0.007842069491744041,60.45072555541992
5.015510204081632-5.108390022675737,0.056863658130168915,0.015443496406078339,61.7420539855957
5.108390022675737-5.201269841269841,0.1183888390660286,0.06414724886417389,57.52190399169922
5.201269841269841-5.294149659863946,0.18807345628738403,0.05752427130937576,52.282127380371094
5.294149659863946-5.38702947845805,0.09406950324773788,0.01550004817545414,57.010459899902344
5.38702947845805-5.479909297052155,0.050168778747320175,0.008833612315356731,60.9703369140625
5.479909297052155-5.572789115646259,0.07374830543994904,0.034070875495672226,61.101707458496094
5.572789115646259-5.6656689342403626,0.18753305077552795,0.07462815195322037,52.993141174316406
5.6656689342403626-5.758548752834467,0.14979201555252075,0.03252188861370087,54.04094696044922
5.758548752834467-5.851428571428571,0.05398957431316376,0.010363391600549221,61.17390823364258
5.851428571428571-5.944308390022676,0.06202404946088791,0.01920303702354431,61.12567138671875
